# Athena++ data at time=2.500000e-01  cycle=350  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0132 -2.45117e-01  8.65648e-01  8.17106e-01  1.68274e-01  0.00000e+00  0.00000e+00
0133 -2.43164e-01  8.60801e-01  8.10707e-01  1.74726e-01  0.00000e+00  0.00000e+00
0134 -2.41211e-01  8.55971e-01  8.04346e-01  1.81184e-01  0.00000e+00  0.00000e+00
0135 -2.39258e-01  8.51159e-01  7.98023e-01  1.87646e-01  0.00000e+00  0.00000e+00
0136 -2.37305e-01  8.46366e-01  7.91738e-01  1.94113e-01  0.00000e+00  0.00000e+00
0137 -2.35352e-01  8.41591e-01  7.85492e-01  2.00583e-01  0.00000e+00  0.00000e+00
0138 -2.33398e-01  8.36835e-01  7.79285e-01  2.07057e-01  0.00000e+00  0.00000e+00
0139 -2.31445e-01  8.32099e-01  7.73117e-01  2.13535e-01  0.00000e+00  0.00000e+00
0140 -2.29492e-01  8.27381e-01  7.66987e-01  2.20016e-01  0.00000e+00  0.00000e+00
0141 -2.27539e-01  8.22683e-01  7.60897e-01  2.26499e-01  0.00000e+00  0.00000e+00
0142 -2.25586e-01  8.18005e-01  7.54846e-01  2.32986e-01  0.00000e+00  0.00000e+00
0143 -2.23633e-01  8.13345e-01  7.48833e-01  2.39474e-01  0.00000e+00  0.00000e+00
0144 -2.21680e-01  8.08706e-01  7.42860e-01  2.45965e-01  0.00000e+00  0.00000e+00
0145 -2.19727e-01  8.04086e-01  7.36926e-01  2.52458e-01  0.00000e+00  0.00000e+00
0146 -2.17773e-01  7.99486e-01  7.31030e-01  2.58954e-01  0.00000e+00  0.00000e+00
0147 -2.15820e-01  7.94906e-01  7.25174e-01  2.65450e-01  0.00000e+00  0.00000e+00
0148 -2.13867e-01  7.90346e-01  7.19356e-01  2.71949e-01  0.00000e+00  0.00000e+00
0149 -2.11914e-01  7.85805e-01  7.13577e-01  2.78449e-01  0.00000e+00  0.00000e+00
0150 -2.09961e-01  7.81284e-01  7.07836e-01  2.84951e-01  0.00000e+00  0.00000e+00
0151 -2.08008e-01  7.76784e-01  7.02134e-01  2.91454e-01  0.00000e+00  0.00000e+00
0152 -2.06055e-01  7.72303e-01  6.96470e-01  2.97958e-01  0.00000e+00  0.00000e+00
0153 -2.04102e-01  7.67842e-01  6.90845e-01  3.04463e-01  0.00000e+00  0.00000e+00
0154 -2.02148e-01  7.63401e-01  6.85257e-01  3.10969e-01  0.00000e+00  0.00000e+00
0155 -2.00195e-01  7.58980e-01  6.79708e-01  3.17477e-01  0.00000e+00  0.00000e+00
0156 -1.98242e-01  7.54579e-01  6.74196e-01  3.23985e-01  0.00000e+00  0.00000e+00
0157 -1.96289e-01  7.50198e-01  6.68722e-01  3.30494e-01  0.00000e+00  0.00000e+00
0158 -1.94336e-01  7.45836e-01  6.63286e-01  3.37004e-01  0.00000e+00  0.00000e+00
0159 -1.92383e-01  7.41495e-01  6.57887e-01  3.43514e-01  0.00000e+00  0.00000e+00
0160 -1.90430e-01  7.37173e-01  6.52525e-01  3.50025e-01  0.00000e+00  0.00000e+00
0161 -1.88477e-01  7.32871e-01  6.47200e-01  3.56537e-01  0.00000e+00  0.00000e+00
0162 -1.86523e-01  7.28589e-01  6.41912e-01  3.63049e-01  0.00000e+00  0.00000e+00
0163 -1.84570e-01  7.24327e-01  6.36661e-01  3.69561e-01  0.00000e+00  0.00000e+00
0164 -1.82617e-01  7.20084e-01  6.31446e-01  3.76074e-01  0.00000e+00  0.00000e+00
0165 -1.80664e-01  7.15861e-01  6.26267e-01  3.82588e-01  0.00000e+00  0.00000e+00
0166 -1.78711e-01  7.11658e-01  6.21125e-01  3.89101e-01  0.00000e+00  0.00000e+00
0167 -1.76758e-01  7.07474e-01  6.16019e-01  3.95615e-01  0.00000e+00  0.00000e+00
0168 -1.74805e-01  7.03310e-01  6.10949e-01  4.02129e-01  0.00000e+00  0.00000e+00
0169 -1.72852e-01  6.99165e-01  6.05914e-01  4.08644e-01  0.00000e+00  0.00000e+00
0170 -1.70898e-01  6.95040e-01  6.00915e-01  4.15158e-01  0.00000e+00  0.00000e+00
0171 -1.68945e-01  6.90934e-01  5.95952e-01  4.21673e-01  0.00000e+00  0.00000e+00
0172 -1.66992e-01  6.86848e-01  5.91023e-01  4.28187e-01  0.00000e+00  0.00000e+00
0173 -1.65039e-01  6.82781e-01  5.86129e-01  4.34702e-01  0.00000e+00  0.00000e+00
0174 -1.63086e-01  6.78733e-01  5.81270e-01  4.41216e-01  0.00000e+00  0.00000e+00
0175 -1.61133e-01  6.74705e-01  5.76446e-01  4.47731e-01  0.00000e+00  0.00000e+00
0176 -1.59180e-01  6.70695e-01  5.71656e-01  4.54245e-01  0.00000e+00  0.00000e+00
0177 -1.57227e-01  6.66705e-01  5.66901e-01  4.60760e-01  0.00000e+00  0.00000e+00
0178 -1.55273e-01  6.62734e-01  5.62179e-01  4.67274e-01  0.00000e+00  0.00000e+00
0179 -1.53320e-01  6.58782e-01  5.57491e-01  4.73788e-01  0.00000e+00  0.00000e+00
0180 -1.51367e-01  6.54849e-01  5.52837e-01  4.80302e-01  0.00000e+00  0.00000e+00
0181 -1.49414e-01  6.50935e-01  5.48217e-01  4.86815e-01  0.00000e+00  0.00000e+00
0182 -1.47461e-01  6.47040e-01  5.43629e-01  4.93329e-01  0.00000e+00  0.00000e+00
0183 -1.45508e-01  6.43164e-01  5.39075e-01  4.99842e-01  0.00000e+00  0.00000e+00
0184 -1.43555e-01  6.39306e-01  5.34554e-01  5.06355e-01  0.00000e+00  0.00000e+00
0185 -1.41602e-01  6.35467e-01  5.30066e-01  5.12867e-01  0.00000e+00  0.00000e+00
0186 -1.39648e-01  6.31647e-01  5.25610e-01  5.19379e-01  0.00000e+00  0.00000e+00
0187 -1.37695e-01  6.27846e-01  5.21187e-01  5.25891e-01  0.00000e+00  0.00000e+00
0188 -1.35742e-01  6.24063e-01  5.16796e-01  5.32402e-01  0.00000e+00  0.00000e+00
0189 -1.33789e-01  6.20298e-01  5.12436e-01  5.38913e-01  0.00000e+00  0.00000e+00
0190 -1.31836e-01  6.16552e-01  5.08109e-01  5.45424e-01  0.00000e+00  0.00000e+00
0191 -1.29883e-01  6.12825e-01  5.03814e-01  5.51934e-01  0.00000e+00  0.00000e+00
